id,nombre,nota_i1,nota_i2,nota_ex,grupo
0,Honey Thiel,4.4,4.4,4.4,0
1,Erick Ullrich,5.9,6.7,3.3,0
2,Felipe Koepp,5.4,5.5,6.5,0
3,Vance Renner V,4.7,3.5,2.5,1
4,Mirta Heidenreich,6.2,4.9,3.1,1
5,Msgr. Clemente Moen,3.3,4.8,7.0,1
6,Jamal Crist DO,7.0,4.4,5.0,2
7,Rosendo Reichert,2.8,6.3,4.1,2
8,The Hon. Gustavo Morissette,5.2,4.7,3.6,2
9,Drusilla Lebsack,2.9,5.6,4.6,3
10,Elisha Trantow,3.9,4.7,5.0,3
11,Gertha Jast,5.4,4.6,4.1,3
12,Karyl Balistreri,2.8,6.0,5.6,4
13,Nell Marks,5.6,4.6,4.0,4
14,Tressie Jakubowski,6.0,5.1,5.6,4
15,Sam Cronin,5.3,6.8,5.3,5
16,Shanna Labadie LLD,4.1,5.3,4.2,5
17,Jerri Koepp,5.1,4.6,3.3,5
18,Markita Lemke Jr.,6.7,3.0,5.0,6
19,Gov. Rolland O'Keefe,3.2,3.5,5.6,6
20,Marceline Turcotte,3.0,2.5,4.3,6
21,Beverlee Auer,4.7,2.7,4.3,7
22,Katherina Harvey LLD,6.1,3.9,2.8,7
23,Manuela Tromp,5.6,6.1,3.8,7
24,Shira Halvorson,6.1,6.9,2.6,8
25,Fredric Koepp,4.5,5.1,5.5,8
26,Winona Zieme,4.7,3.8,3.4,8
27,Pres. Alphonso Turcotte,3.4,6.9,4.8,9
28,Burma Berge,4.5,2.9,5.9,9
29,Mariano Jakubowski,5.3,5.8,6.6,9
30,Arlen Powlowski,2.9,5.6,5.8,10
31,Miss Craig Denesik,6.9,3.3,6.2,10
32,Emilio Hartmann VM,5.8,5.5,6.7,10
33,Danette Nolan,6.5,4.4,2.7,11
34,Mina Hickle,2.9,5.4,3.0,11
35,Delfina Blick,3.7,5.0,4.4,11
36,Alfonzo Heidenreich,4.2,5.2,6.3,12
37,Hassan Stark,3.9,3.6,5.8,12
38,Cristy Koss,5.1,2.9,5.7,12
39,Raguel Walker,5.0,2.6,3.2,13
40,Chang Zulauf,6.5,3.9,6.9,13
41,The Hon. Cassey Sipes,3.4,5.9,5.1,13
42,Pedro Harris,4.7,3.2,2.5,14
43,Briana Daugherty,4.7,4.6,5.1,14
44,Blake Boehm,5.1,4.1,2.9,14
45,Maryln Pacocha,3.4,5.5,3.9,15
46,Brendon Dooley,4.8,5.7,2.7,15
47,Tory Roob PhD,5.4,5.9,6.7,15
48,Robbie Kunze JD,5.9,4.0,6.8,16
49,Kristie Pollich Esq.,6.7,6.8,4.5,16
50,Dr. Olin Muller,2.9,5.2,5.6,16
51,Malka Emmerich,4.0,6.2,6.5,17
52,Letisha Bruen,2.5,5.6,5.5,17
53,Manual Quitzon,2.9,2.8,6.3,17
54,Eldon Hilll,6.8,4.1,3.2,18
55,Madalyn Wintheiser CPA,2.9,4.0,5.2,18
56,Adolfo Sanford MD,5.2,5.9,3.4,18
57,Klara Denesik,2.6,6.8,5.8,19
58,Rev. Gigi Conn,2.5,5.9,3.0,19
59,Jeniffer Wisozk,6.7,3.3,5.7,19
