id,nombre,nota_i1,nota_i2,nota_ex,grupo
0,Mable Reichel,3.0,6.1,5.5,0
1,King Parisian,4.1,4.4,4.4,0
2,Darcie Botsford DO,4.9,5.6,6.7,0
3,Kendrick Breitenberg,3.3,4.3,3.1,1
4,Kelvin Williamson,5.5,4.6,5.4,1
5,Timmy Jacobs,5.5,3.8,5.1,1
6,Carlotta Kessler,6.0,4.0,4.0,2
7,Amb. Kieth Prosacco,3.4,6.5,4.7,2
8,Raphael Schamberger,5.2,5.7,3.9,2
9,Gov. Dwana Pouros,5.6,3.2,5.7,3
10,Deeanna Hirthe,4.9,6.1,5.0,3
11,Pres. Chaya Waelchi,4.3,6.2,3.0,3
12,Darron Hodkiewicz,3.4,3.4,4.6,4
13,Rev. Kelley DuBuque,3.9,2.6,5.3,4
14,Cristopher Bailey,6.5,4.7,6.8,4
15,Trinh Oberbrunner,5.9,3.4,3.3,5
16,Donnell Bayer,3.9,3.0,6.1,5
17,Mae Volkman DDS,2.6,7.0,4.4,5
18,Rey Reynolds,5.6,4.3,2.6,6
19,Jamel Murphy,2.6,4.4,2.6,6
20,Spencer Gislason,3.4,5.5,3.8,6
21,Sen. Alejandro Rutherford,2.5,2.5,3.7,7
22,Sen. Jacquie Harvey,5.4,3.4,4.1,7
23,Reed Cronin,3.1,3.8,6.5,7
24,Ja Lubowitz,4.0,6.4,2.8,8
25,Rodger Mitchell,3.9,2.6,5.0,8
26,Lenny Johnson,2.9,5.5,2.5,8
27,Shantay Shields,2.6,4.1,5.2,9
28,Lewis Brakus,6.4,4.6,5.4,9
29,Rep. Neville Gibson,6.5,6.5,4.7,9
30,Rep. Felton Rau,6.4,6.9,4.7,10
31,Kesha Pacocha V,6.3,6.1,5.6,10
32,Dr. Benedict Marks,4.8,4.9,4.5,10
33,Olevia Kerluke,6.9,4.9,5.7,11
34,Junie Towne,5.9,4.6,2.5,11
35,Clayton McGlynn,6.6,6.9,5.7,11
36,Miss Grazyna Cummings,7.0,5.5,3.2,12
37,Jonathan MacGyver,2.7,3.3,6.8,12
38,Carolann Mante,4.2,6.5,4.8,12
39,Kim Rosenbaum,4.9,2.7,5.4,13
40,Felton D'Amore,6.9,4.8,3.1,13
41,Vanetta Harris,4.9,3.2,6.2,13
42,Veronique Bins,6.9,3.6,4.3,14
43,The Hon. Johnny Mertz,5.9,2.7,6.1,14
44,Robin Leffler,3.3,4.1,5.9,14
